#{"t_start": 1691680379.9299045, "env_id": "JSBSim-v0"}
r,l,t
49.666706,1200,273.377416
42.111313,1200,274.344173
77.914189,1200,276.576879
16.63813,1200,278.815449
11.064693,1200,279.783188
186.345718,790,281.687269
44.106282,1200,282.663022
33.050449,1200,284.897581
45.952612,1200,285.864317
63.448961,1200,288.10284
-5.841938,1200,289.069599
-12.601814,1200,291.301237
40.073675,1200,293.53271
48.997767,1200,294.499769
-29.955427,1200,296.73846
63.841696,1200,297.705235
52.536949,1200,299.934842
186.086156,842,300.611537
52.398092,1200,302.846791
57.477817,1200,305.082015
42.263919,1200,306.048776
52.501816,1200,308.280306
49.756906,1200,309.246083
57.969846,1200,311.481707
22.533096,1200,313.706694
53.137844,1200,314.680403
185.745327,824,315.343204
15.159749,1200,317.573245
-11.772761,1200,319.805734
70.604843,1200,320.7705
57.902601,1200,323.006237
185.098388,850,323.689959
60.650293,1200,325.934656
184.662268,844,326.619365
185.688396,893,328.577302
185.32434,768,329.196246
53.701193,1200,331.391091
6.09064,1200,332.357828
68.612011,1200,334.562898
66.118641,1200,335.53365
67.465839,1200,337.733844
185.673783,770,338.366432
58.13586,1200,340.56829
53.589013,1200,342.763634
46.585624,1200,343.73239
-21.310417,1200,345.922207
185.988717,817,346.580997
30.081764,1200,348.804895
10.226747,1200,349.769657
47.829767,1200,352.005478
185.313966,791,352.653796
63.300052,1200,354.857832
185.12136,756,355.467833
187.235546,819,357.365131
58.528633,1200,358.332897
16.803476,1200,360.54247
47.661573,1200,361.515215
52.014208,1200,363.736782
186.77641,779,364.37166
52.334396,1200,366.573569
59.482756,1200,368.783841
51.742076,1200,369.751584
38.330972,1200,371.844753
43.525876,1200,372.328135
-23.66921,1200,373.531201
-15.397578,1200,373.982707
-6.184408,1200,375.166918
-8.859153,1200,376.299988
52.409459,1200,376.758464
-15.567216,1200,377.881693
54.524729,1200,378.345207
-20.374478,1200,379.487323
-19.643789,1200,380.629715
-17.67844,1200,381.078153
185.782215,790,382.042881
73.03175,1200,382.486447
56.501726,1200,383.614501
49.994688,1200,384.075954
-16.97424,1200,385.233144
33.813506,1200,385.695587
73.892546,1200,386.834715
62.684154,1200,387.979744
10.538446,1200,388.457151
66.954313,1200,389.604309
58.910037,1200,390.090682
-8.599432,1200,391.233857
78.392043,1200,392.359187
48.932113,1200,392.826651
-10.500566,1200,393.956657
68.125617,1200,394.410215
186.794009,979,395.472514
54.559865,1200,395.930926
53.905387,1200,397.107062
76.940622,1200,398.261309
186.09885,882,398.604151
55.524451,1200,399.755334
71.701757,1200,400.199837
53.541971,1200,401.348234
60.155787,1200,401.794677
57.479147,1200,402.975989
84.32004,1200,403.418509
58.027615,1200,404.534892
52.647006,1200,405.685089
50.770654,1200,406.143579
186.029246,766,407.096426
186.069542,786,407.481093
81.618864,1200,409.688918
185.059319,797,410.335754
58.361719,1200,412.553782
64.67857,1200,413.521514
52.593426,1200,415.73016
186.192997,864,416.425834
54.944057,1200,418.64091
60.068219,1200,419.613655
58.866828,1200,421.81538
60.98197,1200,422.77816
48.75117,1200,424.973623
51.222737,1200,427.180302
68.001175,1200,428.147071
76.443282,1200,430.371115
185.378698,1131,431.290036
65.99745,1200,433.528807
185.209616,758,434.143778
74.484171,1200,436.379768
-75.9564,494,436.777434
57.793935,1200,438.968047
-104.718672,521,439.390634
-42.492127,610,439.883983
71.317818,1200,442.075763
49.455424,1200,443.03954
78.995112,1200,445.239113
54.659849,1200,447.442115
69.458684,1200,448.408852
68.355233,1200,450.617586
73.338889,1200,451.585349
63.118249,1200,453.776437
57.147589,1200,455.966359
186.009048,759,456.578115
53.603908,1200,458.767285
50.601444,1200,459.741985
51.916508,1200,461.938161
49.329786,1200,462.909909
-88.158088,421,464.473383
186.253112,1184,465.428239
58.894625,1200,467.617292
49.00542,1200,468.584035
60.526932,1200,470.775962
63.614563,1200,471.741734
63.624927,1200,473.941662
55.768515,1200,476.128981
52.607826,1200,477.094744
55.195473,1200,479.285169
187.027356,885,479.998782
58.769767,1200,482.191619
58.026153,1200,483.155442
73.79187,1200,485.355956
50.818122,1200,487.551903
67.718618,1200,488.525632
55.916202,1200,490.728281
48.6957,1200,491.698001
62.2789,1200,493.906585
64.151486,1200,494.876384
56.580024,1200,496.423393
184.414956,863,496.761297
83.916636,1200,497.944562
185.757616,887,498.98923
60.086183,1200,499.487563
185.930497,834,499.832409
45.05572,1200,501.125824
46.037076,1200,502.243157
49.44819,1200,502.704671
51.711191,1200,503.86026
186.706538,838,504.179189
62.454735,1200,505.323806
-107.855748,556,505.531178
46.389431,1200,506.706168
65.677987,1200,507.151669
66.704719,1200,508.264156
48.647442,1200,508.715564
-110.387431,563,509.588746
50.22065,1200,510.036244
62.152928,1200,511.155986
72.128028,1200,511.593518
48.590072,1200,512.736758
-53.565066,507,512.928113
46.088912,1200,514.105412
-105.856773,488,514.298649
185.57262,864,515.326356
186.713539,859,515.65121
186.203493,1052,516.058764
-97.978106,468,516.917824
57.10538,1200,517.369317
49.46165,1200,518.484608
-106.380879,487,518.669987
40.567434,1200,519.791362
65.793997,1200,520.240861
186.156045,833,521.213195
-105.31176,499,521.395586
-110.902981,511,521.581961
185.704314,812,522.538768
185.498084,747,522.810852
-108.363797,506,522.993247
59.70768,1200,524.095378
52.525633,1200,524.534905
37.707646,1200,525.643192
53.412168,1200,526.750361
44.501755,1200,527.194837
51.224228,1200,528.350798
-98.43564,515,528.543148
-111.014761,473,528.728508
185.694991,995,529.79816
57.924113,1200,530.240678
-39.60845,820,531.216176
186.424694,736,531.496239
-32.610603,1132,532.608518
57.354979,1200,533.054027
58.362504,1200,534.179768
52.802979,1200,534.633272
-53.744016,527,535.492437
69.602988,1200,535.941949
-46.67898,562,536.154256
-110.106243,446,536.99118
-33.170394,1187,537.429737
-58.892717,539,538.299736
-36.235948,776,538.593747
-47.539157,534,538.795069
64.938672,1200,539.906477
-61.525417,629,540.140694
63.675294,1200,541.261884
59.566345,1200,541.714267
55.806801,1200,542.839463
-77.254665,430,542.998024
58.512265,1200,544.129584
74.388322,1200,544.569146
-103.113081,470,544.748515
48.981521,1200,545.883793
59.972692,1200,546.994148
185.425267,904,547.332989
-64.502157,633,547.567284
-104.962141,450,548.404435
59.49315,1200,548.886674
24.744389,1200,550.07894
68.972785,1200,550.521458
48.366072,1200,551.638654
20.203612,1200,552.804015
186.252152,783,553.104086
-56.927958,696,553.371053
-33.261404,1197,554.502847
75.86204,1200,554.964316
72.378131,1200,556.124295
-33.824282,752,556.416316
185.923819,746,557.38216
-19.478256,829,557.700047
48.59006,1200,558.847647
73.098174,1200,559.314193
-34.327245,842,560.320528
-28.787417,644,560.577744
-28.264295,743,560.862859
68.110743,1200,561.96523
-101.751818,485,562.139689
60.821001,1200,563.303655
51.754382,1200,563.772083
58.752966,1200,564.914342
67.104549,1200,566.160639
33.672126,1200,566.643048
36.453116,1200,567.803597
-40.575583,950,568.177343
68.822549,1200,569.328594
67.48341,1200,569.769125
74.975203,1200,570.939523
63.336779,1200,572.062769
37.607735,1200,572.515234
58.595745,1200,573.67091
70.731882,1200,574.174145
-14.798631,759,575.205054
67.978912,1200,575.648575
64.392106,1200,576.763847
59.199313,1200,577.218337
73.003914,1200,578.333468
68.462173,1200,579.975993
185.557567,929,580.724458
186.035691,999,582.750477
60.573077,1200,583.716233
78.003581,1200,585.908952
184.957234,1112,586.803968
79.140028,1200,589.001576
73.209809,1200,589.975322
67.922421,1200,592.172352
185.635185,854,592.857086
9.159387,1200,595.054822
60.156351,1200,597.259547
54.184516,1200,598.225311
62.966624,1200,600.448323
15.154676,1200,601.413085
-4.803964,1200,603.625757
185.061362,801,604.279567
186.001917,1026,606.35425
83.602065,1200,607.319025
28.282835,1200,609.543355
60.411729,1200,611.737131
82.271808,1200,612.702897
61.006635,1200,614.897528
-82.034954,494,615.295204
72.414553,1200,617.484097
80.613752,1200,618.460835
66.554565,1200,620.653273
74.58453,1200,621.618043
-24.131239,1030,623.673925
50.195141,1200,624.637703
17.312151,1200,626.83045
74.005187,1200,629.028258
72.095743,1200,630.004051
39.247949,1200,632.202438
-31.963499,1200,633.174203
-30.702394,1200,635.36794
-28.691888,1200,637.561266
-13.268478,1200,638.527039
65.388874,1200,640.734718
61.706646,1200,641.698497
73.380971,1200,643.889255
4.139234,1200,644.852035
-14.440827,1200,647.050824
-5.530402,1200,649.24842
53.789871,1200,650.213195
78.97369,1200,652.415399
59.530775,1200,653.380171
54.253173,1200,655.574116
185.278968,1108,657.691226
54.284876,1200,658.657995
76.99153,1200,660.890534
51.395174,1200,661.859293
49.042467,1200,664.056058
45.998107,1200,665.019833
-38.000143,1092,667.12494
3.861112,1200,669.31005
44.420012,1200,670.273829
42.007217,1200,672.465375
69.620584,1200,673.431166
63.993682,1200,675.633537
-35.139649,1175,676.578368
-12.258709,1200,678.769986
184.737435,918,680.735429
185.845507,842,681.418145
42.135448,1200,683.613317
69.197493,1200,684.57908
-6.033039,1200,686.776719
-1.807411,1200,687.740487
53.990402,1200,689.970231
-37.41176,1112,690.871217
-30.733041,1159,693.07492
-26.594836,1200,695.287755
-8.719195,1200,696.251498
186.19951,962,698.249683
185.148286,975,699.03705
-13.718727,1200,701.269522
72.585085,1200,702.261265
71.109005,1200,704.502706
68.374013,1200,705.468523
76.929845,1200,707.664155
-22.109003,1053,709.723295
5.081084,1200,710.686103
25.69347,1200,712.886731
-24.149507,1086,713.750813
56.270293,1200,715.92757
63.593521,1200,716.891335
-60.707594,666,718.649856
-31.663234,1200,719.610641
-96.662326,496,721.235349
29.356818,1200,722.191148
73.709174,1200,724.369342
48.592668,1200,725.326131
72.426841,1200,727.514185
-30.564781,1075,728.369328
185.801054,859,730.277326
184.490223,997,731.079645
3.696529,1200,733.257513
-33.867457,1111,734.146497
-36.872046,1200,736.336332
42.100531,1200,738.527003
62.538595,1200,739.489782
67.888663,1200,741.669714
69.839013,1200,742.624516
66.498677,1200,744.812069
185.998518,840,745.481807
185.042716,888,747.413338
63.418985,1200,748.376065
66.406209,1200,750.570722
185.895042,774,751.190648
58.309193,1200,753.364364
-8.002834,1200,755.534943
184.879519,866,756.226623
79.203285,1200,758.397366
186.092178,815,759.056172
68.954804,1200,761.231989
186.551033,955,761.99245
59.004599,1200,764.1653
50.153735,1200,765.122093
35.708489,1200,767.295817
-24.396008,1200,768.248624
63.657543,1200,770.443603
185.136797,810,771.089445
68.372511,1200,773.266161
63.312656,1200,774.220974
185.492636,864,776.131782
29.565361,1200,778.29978
-23.759875,1200,779.257623
69.522168,1200,781.445307
17.095606,1200,782.40011
56.048489,1200,784.57531
11.43931,1200,785.529065
185.987037,794,787.380815
82.72495,1200,788.335681
57.767363,1200,790.523809
70.024374,1200,792.703313
-20.952649,1200,793.658127
74.210986,1200,795.840148
184.992514,913,796.567695
-17.045424,1200,798.743401
50.587985,1200,799.699209
6.346325,1200,801.878993
39.046897,1200,804.054716
185.293376,1024,804.872976
-50.78455,717,805.443069
60.594059,1200,807.619256
30.942375,1200,809.797297
9.003671,1200,810.760075
185.329183,1036,812.819939
48.20794,1200,813.779728
185.957897,984,815.802088
-5.839454,1200,816.755926
0.462398,1200,818.925776
44.202631,1200,819.881556
44.798358,1200,822.05641
62.362723,1200,824.231074
39.81022,1200,825.186892
64.639639,1200,827.378248
30.199257,1200,828.339039
67.272554,1200,830.529444
40.361456,1200,832.732071
63.982289,1200,833.685876
56.005704,1200,835.894053
186.718464,1125,836.793045
45.362981,1200,838.981803
185.91984,1137,839.884924
-32.783621,1001,841.916033
59.277788,1200,844.090449
42.877869,1200,845.047217
69.364421,1200,847.22097
34.477119,1200,848.175782
-51.619231,591,849.867469
71.406228,1200,850.823264
33.332787,1200,853.008116
-13.306331,1200,853.961927
56.474021,1200,856.168306
64.289126,1200,857.141041
47.421052,1200,859.348924
67.895165,1200,861.585331
185.635707,807,862.239144
64.193033,1200,864.462872
-23.641435,1119,865.362845
78.432279,1200,867.551003
63.44547,1200,868.516779
185.424728,804,870.398589
47.496373,1200,871.370337
75.939514,1200,873.564955
50.242367,1200,875.76099
69.529923,1200,876.728728
185.966069,872,878.683322
46.045139,1200,879.649156
54.396904,1200,881.86395
74.214775,1200,882.829746
54.119843,1200,885.056777
59.928855,1200,886.021556
185.354619,764,887.894287
43.056168,1200,888.85706
81.907691,1200,891.08042
47.955407,1200,893.285565
42.928819,1200,894.251339
74.944892,1200,896.463523
186.135996,1162,897.399386
186.039334,1136,899.55718
185.217256,1021,900.389733
69.022637,1200,902.601802
14.524696,1200,904.798719
80.799431,1200,905.768474
184.596163,1139,907.92591
184.703902,808,908.579722
59.260004,1200,910.784174
9.332446,1200,911.74895
43.539506,1200,913.956565
61.160836,1200,914.92135
79.22284,1200,917.128994
33.487966,1200,919.32883
48.624811,1200,920.291619
48.692787,1200,922.486517
185.427392,878,923.194134
71.150437,1200,925.393256
65.360617,1200,926.365
51.80197,1200,928.56452
-32.8938,1200,930.776061
84.414234,1200,931.74781
68.484882,1200,933.95246
184.964949,1165,934.895306
186.659332,789,936.765268
41.101258,1200,937.730038
-7.022888,1200,939.928115
186.804155,895,940.654635
186.254738,873,942.59033
3.691717,1200,943.558092
-3.594205,1200,945.757594
55.423566,1200,946.721355
46.20746,1200,948.92608
79.934596,1200,951.137145
54.43371,1200,952.100917
69.461858,1200,954.319255
75.244266,1200,955.296984
82.016426,1200,957.522232
71.364283,1200,959.758114
68.40107,1200,960.727903
40.108712,1200,962.960752
78.345852,1200,963.925472
64.634627,1200,966.176527
71.491837,1200,967.139339
